id,degree,community,component
SOYTURISTA,9,7,1
Ice Cube,48,18,1
AB6IX,9,34,1
Rollsout,24,77,1
Tøsedrengene,0,163,117
George Michael,23,3,1
Alvar & Millas,6,18,1
Knock,0,164,118
Bassi Maraj,2,14,1
Moslem,10,27,1
Yeboyah,14,37,1
Kenn Colt,27,39,1
Regev Hod,5,40,1
42 Dugg,58,18,1
Sad Eye,4,1,1
Slogan,33,46,1
We,9,6,1
Senkise,3,131,1
Elpatron970,25,7,1
Alice Merton,3,9,1
Sydney Yungins,7,18,1
Ivana Santacruz,3,2,1
SLAPKISS,3,24,1
Anne Brændeland,5,1,1
Zigfrīds Muktupāvels,8,47,1
Brady Watt,56,18,1
Khai Bahar,14,23,1
Jamie Woon,13,165,1
Numcha,1,20,1
Amorphis,1,166,119
Rita Ora,92,18,1
Blacky,5,1,1
Amarosis,0,167,120
Fuerza Azul - Cartaginés,0,168,121
Ning Baizura,14,23,1
Ismael Rivera,10,169,1
Mihaela Marinova,3,116,1
Point,1,170,122
Kastrācija,3,47,1
Chriz & Heino,0,171,123
LILBRO,8,37,1
Harry Brown,4,172,124
Stadio,6,4,1
Cess,1,173,125
Zwei Am Morge,4,174,126
Hiphop Tamizha,96,70,1
Zhang Bichen,5,20,1
Panos Kiamos,8,46,1
mc jhenny,139,25,1
Morrissey,2,33,1
Axel,19,7,1
G.bit,9,4,1
Hoàng Yến Chibi,11,52,1
Perkons,0,175,127
Ziynet Sali,14,21,1
Blue Shade,1,176,128
Gin Lee,14,20,1
Arctic Monkeys,0,177,129
BL,7,1,1
Lindsey Stirling,44,18,1
Real Phantom,39,7,1
De Kraaien,9,22,1
Jorge Acosta,2,178,130
Ant Wan,4,1,1
Nora Istrefi,21,2,1
PNAU,70,3,1
Sasha Alex Sloan,18,18,1
Multe,0,179,131
ANYA,4,17,1
Keya,20,1,1
Mr. Crazy,24,43,1
Japãozin,16,25,1
Beatrice,5,16,1
The Main Level,3,1,1
Prodigio,1,124,1
Joe Weller,9,3,1
Dear Jack,2,4,1
Dimension Latina,7,7,1
Hermanos Inglesos,6,45,1
Kim Feel,11,34,1
Lady Du,78,76,1
Arsy Widianto,3,23,1
Rümeysa,1,21,1
DOC,38,5,1
Shay,4,43,1
Xesi,17,52,1
Summer All Stars,1,77,1
Samantha,10,7,1
Dani Martín,32,7,1
سـعـداوى القطعانى,0,180,132
Rey Mbayang,1,181,133
RSAC,17,6,1
Nicklas Sahl,2,3,1
Nina,5,23,1
Mandi Macias,2,182,134
N.E.R.D,32,18,1
Josef Salvat,19,18,1
Batuhan Kordel,1,21,1
Seth Sentry,5,82,1
Norm Ender,2,21,1
Kacha Nontanun,6,183,135
Majed Alrslani,0,184,136
Claudinho Brasil,30,25,1
Jay Hardway,39,18,1
3TERNITY,12,6,1
Nicki Minaj,166,18,1
HRflow,15,131,1
Loun,6,43,1
Drizzy Sam Rsa,11,3,1
Zensery,4,2,1
Pickal,0,185,137
Kaśka Sochacka,6,11,1
Ran Danker,14,40,1
Samuli Heimo,1,37,1
Dj Concon,0,186,138
Mensa,21,22,1
Olympique,1,43,1
Juno,41,5,1
Chystemc,51,7,1
Lallet,0,187,139
Loud,7,82,1
Laila Samuels,7,1,1
Flairo,0,188,140
BaseBoys,1,189,141
Billie Martin,0,190,142
Manuel Carrasco,11,7,1
JUNIOR CALLY,16,4,1
詹森淮,0,191,143
Los Laytons,0,192,144
Mairee,48,77,1
ilyTOMMY,11,193,1
DEAN,18,34,1
Hukka ja Mama,0,194,145
Imany,25,39,1
Breathe Carolina,114,18,1
Ac0osta,0,195,146
Min,10,5,1
Āris un Saulceris Ziemeļi,0,196,147
Petter Pilgaard,1,1,1
Mc Brinquedo,42,25,1
Vahtera,2,37,1
Natti Natasha,71,7,1
Reën,1,76,1
Torino,10,116,1
Dúné,12,17,1
Chilam,9,20,1
MC Mari,108,25,1
Afrodisiaco,22,197,1
Disiz,74,43,1
RYM,2,43,1
Malu,12,25,1
Only The Family,37,18,1
Khairil Johari Johar,0,198,148
Birol Giray (BeeGee),10,21,1
AK,15,77,1
Knack,4,199,149
Aniceto Molina,7,200,1
Bigal & L Jake,1,200,1
The Black Seeds,47,82,1
Clara,7,17,1
Dj Leska,58,43,1
Marama,6,7,1
Tropical Caribe De Los Hnos Loera,0,201,150
Pappa Razzi feat. Laureen,0,202,151
Jake Miller,23,18,1
ZICO,35,34,1
Hayat,9,2,1
Arash Buana,3,23,1
Smaug,6,43,1
Ollie,5,37,1
VI-EM,10,7,1
Rachel Mason,1,203,152
Tom-E,16,39,1
عبدالله ال فروان,0,204,153
Altis,16,37,1
JID,64,18,1
Early B,18,76,1
Musa Eroğlu,22,21,1
Lamin,15,17,1
Henny x Zinny,0,205,154
Chi Pu,7,52,1
Kaia-Liisa Kesler,0,206,155
Los Rivera Destino,12,7,1
Keen' V,23,5,1
Pappo,28,197,1
Vadims Petrovs,0,207,156
黃浩琳,2,20,1
teamwork.,4,18,1
Łobuzy,3,11,1
J.J. Cale,5,33,1
JCKPT,5,77,1
Fools Garden,9,3,1
Twin n Twice,1,208,157
Tori Kelly,31,18,1
Francesco Gabbani,23,4,1
The Mr,0,209,158
MACAN,8,6,1
DJ Alex,78,7,1
Luke Bryan,8,18,1
Don Criminals,3,3,1
Elina Nechayeva,8,9,1
Junie,3,1,1
1019,5,2,1
9m88,25,20,1
Passion Pit,33,18,1
Stunna 4 Vegas,41,18,1
Levent Yüksel,3,21,1
Br0med,1,210,159
Dorit Reuveni,4,40,1
Ice P,17,7,1
Andreas Johnson,14,1,1
簡弘亦,2,211,160
Niklas Ibach,21,3,1
Clandistino,13,22,1
Gian Marco,26,7,1
Helgi Björnsson,24,14,1
Schubi AKpella,9,2,1
Alcazar,28,1,1
Killa Hakan,47,21,1
Giorgos Sabanis,14,46,1
Benislav,0,212,161
Namie Amuro,18,45,1
ZENTYARB,20,24,1
Emanuele Vernarelli,8,213,162
Molotov,4,7,1
Ten2Five,9,214,163
bonobos,0,215,164
Kanika Kapoor,63,70,1
Whadi Gama,2,25,1
"Earth, Wind & Fire",32,18,1
Dastic,33,18,1
Dialog Dini Hari,2,216,165
Hemlig Elsker,0,217,166
Los Pericos,31,7,1
Sambaralla,0,218,167
Heux,18,1,1
Tech N9ne,174,53,1
Esbjörn Svensson Trio,2,9,1
Son Orioz,0,219,168
Jason Thurell,5,18,1
Drengur,7,14,1
Panos Kalidis,4,46,1
Lakinosk,0,220,169
Vicky Nhung,15,52,1
Billy The Kit,65,22,1
Lemaitre,53,18,1
Kelemen Kabátban,21,131,1
Hugh Skinner,1,221,170
Spårtsklubben,0,222,171
琳誼 Ring,6,20,1
Majself,64,77,1
kizaru,17,18,1
Gorki,0,223,172
Symp3ros,0,224,173
Weeping Willows,14,1,1
Combinacion De La Habana,24,197,1
The Him,93,18,1
Elefante,84,114,1
柯文哲,1,20,1
Benny Tipene,0,225,174
USO,40,17,1
PATEKO,28,34,1
Oh Honey,0,226,175
蔣志光,14,20,1
Gusttavo Lima,77,25,1
Young Juu,4,17,1
Lary,41,25,1
DaChoyce,14,22,1
Starian,1,2,1
Zwangere Guy,43,22,1
Massad,0,227,176
siilawy,3,43,1
D Blue,16,52,1
I Belong to the Zoo,4,23,1
Repvblik Band,0,228,177
Valeria Gau,10,7,1
Da Les,55,76,1
Rodolfo Bueso,1,7,1
Ege Balkiz,8,21,1
Mouss Maher,6,43,1
КАКАЯ РАЗНИЦА,0,229,178
The Crystals,0,230,179
Teddybears,38,3,1
Bebe Rexha,86,18,1
FRANKIE,10,18,1
Kristian Kristensen,1,3,1
PUBLIC,8,18,1
Haraca Kiko,148,7,1
ALMA,36,18,1
Rondodasosa,23,4,1
Amar Azul,5,7,1
DoeMaarDave,0,231,180
Tobi & Manny,1,232,181
Zé Ricardo & Thiago,21,25,1
M Huncho,34,3,1
ROOFTOP,3,24,1
Rockin Chefs,0,233,182
PP,6,24,1
Ali Bumaye,6,2,1
Michael Nyberg,0,234,183
7l2olo,69,27,1
777YM,3,235,184
HA SUNG WOON,6,34,1
El Vega,2,200,1
Nesian Mystik,16,82,1
PnD,0,236,185
Sorana,17,3,1
Rolf Sanchez,22,22,1
